form,source,event,outcome,motif,mechanics
PHYSICAL,NONE,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
PHYSICAL,NONE,AVATAR_FATAL,DIE,mortal_severance,Ordinary physical death proceeds through vanilla respawn.
PHYSICAL,NONE,BODY_FATAL,DIE,mortal_severance,Ordinary physical death proceeds through vanilla respawn.
PHYSICAL,NONE,VESSEL_FATAL,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,NONE,SOURCE_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,NONE,POWER_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,NONE,ENERGY_EXHAUSTED,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,NONE,SUPPRESSED,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,NONE,EXPIRED,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,NONE,TARGET_UNAVAILABLE,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,NONE,DIMENSION_INVALID,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,NONE,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
PHYSICAL,NONE,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
PHYSICAL,NONE,MANUAL_END,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,INNATE,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
PHYSICAL,INNATE,AVATAR_FATAL,DIE,mortal_severance,Ordinary physical death proceeds through vanilla respawn.
PHYSICAL,INNATE,BODY_FATAL,DIE,mortal_severance,Ordinary physical death proceeds through vanilla respawn.
PHYSICAL,INNATE,VESSEL_FATAL,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,INNATE,SOURCE_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,INNATE,POWER_LOST,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
PHYSICAL,INNATE,ENERGY_EXHAUSTED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
PHYSICAL,INNATE,SUPPRESSED,DEACTIVATE_SOURCE,source_severance,Only toggles and sessions owned by the lost or exhausted source are switched off.
PHYSICAL,INNATE,EXPIRED,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,INNATE,TARGET_UNAVAILABLE,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,INNATE,DIMENSION_INVALID,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,INNATE,LOGOUT,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
PHYSICAL,INNATE,SERVER_STOP,CLEANUP,session_unweave,Connection or server shutdown releases runtime-only state exactly once.
PHYSICAL,INNATE,MANUAL_END,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,CRYSTAL,OWNER_DEATH,DEACTIVATE_ALL,death_unbinding,Death deactivates every innate and artifact-routed toggle before respawn continues.
PHYSICAL,CRYSTAL,AVATAR_FATAL,DIE,mortal_severance,Ordinary physical death proceeds through vanilla respawn.
PHYSICAL,CRYSTAL,BODY_FATAL,DIE,mortal_severance,Ordinary physical death proceeds through vanilla respawn.
PHYSICAL,CRYSTAL,VESSEL_FATAL,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,CRYSTAL,SOURCE_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
PHYSICAL,CRYSTAL,POWER_LOST,NONE,quiet_continuance,"The event does not own this form or source, so unrelated state continues."
